,total_points,bps,influence,goals_scored,ict_index,bonus,threat,minutes,creativity,assists,value,clean_sheets,selected
27,0,0,0.0,0,0.0,0,0.0,0,0.0,0,50,0,804
28,0,0,0.0,0,0.0,0,0.0,0,0.0,0,45,0,29748
29,0,0,0.0,0,0.0,0,0.0,0,0.0,0,48,0,1501
30,0,0,0.0,0,0.0,0,0.0,0,0.0,0,45,0,57
31,0,0,0.0,0,0.0,0,0.0,0,0.0,0,50,0,693
32,0,0,0.0,0,0.0,0,0.0,0,0.0,0,48,0,29501
33,0,0,0.0,0,0.0,0,0.0,0,0.0,0,41,0,46267
34,0,0,0.0,0,0.0,0,0.0,0,0.0,0,63,0,7040
35,0,0,0.0,0,0.0,0,0.0,0,0.0,0,48,0,15465
36,1,2,2.0,0,1.9,0,17.0,11,0.3,0,68,0,90734
37,0,0,0.0,0,0.0,0,0.0,0,0.0,0,40,0,11405
38,1,2,0.6,0,2.2,0,20.0,20,1.6,0,63,0,744627
39,0,0,0.0,0,0.0,0,0.0,0,0.0,0,45,0,104
40,7,22,39.4,1,5.9,0,7.0,69,12.3,0,60,0,2437093
41,0,0,0.0,0,0.0,0,0.0,0,0.0,0,48,0,19425
42,0,0,0.0,0,0.0,0,0.0,0,0.0,0,42,0,14027
43,1,15,22.2,0,3.6,0,0.0,90,13.3,0,54,0,23059
44,2,14,9.0,0,2.2,0,8.0,90,5.1,0,50,0,29250
45,9,35,48.4,1,13.4,2,37.0,89,48.7,0,116,0,1442444
46,0,0,0.0,0,0.0,0,0.0,0,0.0,0,40,0,45860
