Season,name,position,team,total_points,bps,influence,goals_scored,ict_index,bonus,threat,minutes,creativity,assists,value,clean_sheets,selected
2021-22,Jarrod Bowen,MID,West Ham,1,1,0.4,0,0.1,0,0.0,16,0.8,0,64,0,268896
2021-22,Imrân Louza,MID,Watford,1,1,1.8,0,0.2,0,0.0,45,0.3,0,52,0,2324
2021-22,Juan Camilo Hernández Suárez,FWD,Watford,2,11,6.4,0,6.4,0,42.0,90,15.3,0,50,0,130558
2021-22,Bernardo Mota Veiga de Carvalho e Silva,MID,Man City,2,16,15.2,0,6.8,0,21.0,90,32.1,0,72,0,1000277
2021-22,João Pedro Junqueira de Jesus,FWD,Watford,1,0,7.4,0,2.6,0,13.0,45,5.8,0,54,0,13215
2021-22,James Maddison,MID,Leicester,16,54,79.6,1,19.4,3,44.0,87,70.8,2,66,0,323798
2021-22,Wilfred Ndidi,MID,Leicester,2,9,11.0,0,7.7,0,54.0,90,12.0,0,48,0,79540
2021-22,Michail Antonio,FWD,West Ham,2,0,2.8,0,1.2,0,8.0,90,1.1,0,81,0,3852686
2021-22,Harvey Barnes,MID,Leicester,5,13,9.2,0,7.2,0,37.0,90,26.2,1,65,0,222578
2021-22,Ivan Toney,FWD,Brentford,9,36,50.0,1,7.3,3,17.0,90,6.2,0,67,1,1821342
2021-22,Tomas Soucek,MID,West Ham,2,12,6.6,0,1.2,0,4.0,90,1.1,0,57,0,387394
2021-22,Neal Maupay,FWD,Brighton,2,-7,1.0,0,4.9,0,39.0,67,8.9,0,64,1,236354
2021-22,Jakub Moder,MID,Brighton,3,5,0.0,0,5.6,0,28.0,81,28.3,0,45,1,59543
2021-22,Kalvin Phillips,MID,Leeds,1,6,5.8,0,0.7,0,0.0,45,1.3,0,48,0,125543
2021-22,Jürgen Locadia,FWD,Brighton,1,0,0.0,0,0.1,0,3.0,22,1.1,0,44,0,80532
2021-22,Yves Bissouma,MID,Brighton,2,4,4.0,0,1.9,0,7.0,90,8.0,0,44,1,852667
2021-22,Raphael Dias Belloli,MID,Leeds,3,2,12.8,0,2.6,0,12.0,90,1.3,0,67,1,1721181
2021-22,Pascal Groß,MID,Brighton,3,16,17.4,0,7.3,0,8.0,90,47.5,0,59,1,26361
2021-22,Rodrigo Moreno,FWD,Leeds,2,9,7.8,0,3.3,0,7.0,90,18.2,0,63,1,153534
